index,image_link,group_id,entity_name,e
15413,https://m.media-amazon.com/images/I/41n7HDzdFoL.jpg,648011,wattage,2OpcsCurrent: JOMAVoltage: I2VLight color: warm white light
15414,https://m.media-amazon.com/images/I/41n7JmC+CoS.jpg,130591,item_weight,Small size and light weightEasy storage :convenient carryingWeight: about1200g / 2.641b565L Yunjing mountaineering bagStandard aircushionand
15415,https://m.media-amazon.com/images/I/41n7XBDptBL.jpg,810266,width,"Hohe: 22,0 cmDurchmesser: 10,7 cm3"
15416,https://m.media-amazon.com/images/I/41n7XBDptBL.jpg,810266,height,"Hohe: 22,0 cmDurchmesser: 10,7 cm3"
15417,https://m.media-amazon.com/images/I/41n8bsqt7xL.jpg,557758,item_weight,Nutrition FactsSuninzsper coutainerServing 5i22Jope (28g)Calories110DIRECTIONSTiueneln~cup (8 Il ozl hot mka withOmloptSuabuckee5auuled Fal !5Hol Cocon MuirS0i6 chorol-hlOnoyCholesterolTSadium OmaCarohje0l 272ag InaNonnent FMbetSunat FaMddhoimilJoradcr1 StirAiD [NoyVumnDoncrCucium iS0 rCri BnicJ66nHmotdinuiJo7IaRCeetnManuinctuntd Dasmanad ( JulamtntLeLeemnaeSabaMuncuomeTureraCOnaCOVRNEJeuttiaensoJIHsecTuuLUuaSeelsonan MegWousestng Jucte Ipnnenets2LnnMiur
15418,https://m.media-amazon.com/images/I/41n9U3rsmqL.jpg,281678,item_weight,"rishi |A1t531 6ic; 2K[THE GLACkte &The Ve[Ja~iau""e nonriete1 ' | ' "" | '11 0"".'~Icv'0.POlUSNET0l M0NOUNE"
15419,https://m.media-amazon.com/images/I/41n9jHxp8UL.jpg,625842,item_volume,"zerosugar9forever youTolecoconut limeflavoredother natural flavorswith white curcumin18rn9Whlte curcumin100*antioxidant vitamino1003*Vitemins03 05.06,012nutrient enhanced water beverage20FL 02 (1.25 PT) 591 mL"
15420,https://m.media-amazon.com/images/I/41n9luKji1L.jpg,462757,maximum_weight_recommendation,Powerful but Quiet Motor3HR0.6 - 8.6286 IbsMotorMPHWeigh Capacity
15421,https://m.media-amazon.com/images/I/41n9oV2hejL.jpg,204245,maximum_weight_recommendation,ouper surono Load-DEArino Co0 Ko Hadjoinio BaskeTBOLD IRON CHAINThick ARch FRAMEPE PLASTiC RATTANGive you Intimate securityBold chainThickened framePE Plastic Rattan
15422,https://m.media-amazon.com/images/I/41n9tZHfM+S.jpg,152057,item_weight,New look; same great ingredientsCxnuttatiJuDEE'SCheddor CheorPoxder 3 IcYELLOWCHEDDARCHEESE POWDER3 LDMortnata FnEGdTmaloPackaging may vary
15423,https://m.media-amazon.com/images/I/41nAFgRSDfL.jpg,120219,height,28CM3. 5CM24CM
15424,https://m.media-amazon.com/images/I/41nBDzNtm7L.jpg,965725,height,1125mm265mm
15425,https://m.media-amazon.com/images/I/41nBHNEJMkL.jpg,966823,depth,12OMMX801MM
15426,https://m.media-amazon.com/images/I/41nBLBRZYaL.jpg,752266,width,"Altura5,5 cmTampa Flip"
15427,https://m.media-amazon.com/images/I/41nBLBRZYaL.jpg,752266,depth,"Altura5,5 cmTampa Flip"
15428,https://m.media-amazon.com/images/I/41nBLBRZYaL.jpg,752266,height,"Altura5,5 cmTampa Flip"
15429,https://m.media-amazon.com/images/I/41nCEvbSmrL.jpg,507467,voltage,"USBTB350=WevelndudionLUMENSThe material is Up to standard_comfortable to wear; adjustablelength, suitable for all kinds of working and living environment:"
15430,https://m.media-amazon.com/images/I/41nCJlDOkpL.jpg,916768,depth,250250500cm0 23 cm
15431,https://m.media-amazon.com/images/I/41nCJlDOkpL.jpg,916768,width,250250500cm0 23 cm
15432,https://m.media-amazon.com/images/I/41nCKZL03mL.jpg,941694,item_weight,"sourccot tblrJitamic130HEALEEELOGEBIG TRAIN""Fit FrappePROTEIN DRINKVanilla LatteeFI4wiijuok'{(Uc g"
15433,https://m.media-amazon.com/images/I/41nCPWfk0XL.jpg,347404,depth,3.0 in / 7.5 cm5.1 in13.0 cm
15434,https://m.media-amazon.com/images/I/41nCPWfk0XL.jpg,347404,width,3.0 in / 7.5 cm5.1 in13.0 cm
15435,https://m.media-amazon.com/images/I/41nCVc3PbEL.jpg,748919,item_weight,"LOroDelSudW"" M O L ECALABRIAN-CHILI PEPPERSNET WEIGHT80z (28022"
15436,https://m.media-amazon.com/images/I/41nCamJUpxL.jpg,106003,height,13 Cm12 Cm
15437,https://m.media-amazon.com/images/I/41nCamJUpxL.jpg,106003,depth,13 Cm12 Cm
15438,https://m.media-amazon.com/images/I/41nCb5jiwyL.jpg,752266,width,")270522cm(8.7"")O12cm(4.7"" )@zocm(7.9""13cm(5.1"""
15439,https://m.media-amazon.com/images/I/41nCrtExO8L.jpg,993359,item_weight,Nutritional FactsBoriya ChillyServinu Su0XVJ ValucGniccieuJoGrsCaletwspnatnneCtonyeutes198>eTclnM?Cm;TuatalUilji FibcIngrdiuulIb3llya ChllyUeneu103emDeooloay
15440,https://m.media-amazon.com/images/I/41nDI-NbkLL.jpg,658892,depth,"bcm28, Scm"
15441,https://m.media-amazon.com/images/I/41nDI-NbkLL.jpg,658892,width,"bcm28, Scm"
15442,https://m.media-amazon.com/images/I/41nE-UwpjML.jpg,681445,height,"87 mm74mm180 mm64 mmCapacita di 0,62 (COMIL PLAST"
15443,https://m.media-amazon.com/images/I/41nEaFOnUcL.jpg,966823,depth,SIZE3.15 in1.97 in
15444,https://m.media-amazon.com/images/I/41nEaFOnUcL.jpg,966823,height,SIZE3.15 in1.97 in
15445,https://m.media-amazon.com/images/I/41nEaFOnUcL.jpg,966823,width,SIZE3.15 in1.97 in
15446,https://m.media-amazon.com/images/I/41nEaq1uGEL.jpg,675317,depth,162mm
15447,https://m.media-amazon.com/images/I/41nEaq1uGEL.jpg,675317,width,162mm
15448,https://m.media-amazon.com/images/I/41nFGutuKxL.jpg,312608,depth,84cm180cm
15449,https://m.media-amazon.com/images/I/41nFGutuKxL.jpg,312608,width,84cm180cm
15450,https://m.media-amazon.com/images/I/41nFNPdFT6L.jpg,180410,height,T 9cm*52cm@l9cm
15451,https://m.media-amazon.com/images/I/41nFQK0AW2L.jpg,488883,maximum_weight_recommendation,Can Hold up to 130kg
15452,https://m.media-amazon.com/images/I/41nG2XHdoiS.jpg,130591,item_weight,COM PACT&UGHIWEGHT3x3x916o7Dutoo023nches75inches6.7PILLOWHEIGHTZtHicxNEss
15453,https://m.media-amazon.com/images/I/41nGpeLowaL.jpg,784538,depth,"32""32"
15454,https://m.media-amazon.com/images/I/41nGpeLowaL.jpg,784538,width,"32""32"
15455,https://m.media-amazon.com/images/I/41nHHCXi3wL.jpg,557758,item_volume,570E812DA pepeEAAlwotuZcroZoro'cs40765scoRE )PEPPER FERo4a$Est:Iz-|erucs2(Pe)Diet.1885
15456,https://m.media-amazon.com/images/I/41nHYeOd2qL.jpg,957185,item_weight,"Foob5 ,LaOntnd100""0 KZCETaIanCUREDFED PORKORGANICGenoaSALAMIPoer RailoNO ADDEDNo antibioTICS&HORMONES EvER'Or NitrItESNET43 02 (84g)aphuMtMhitrates C' added"""
15457,https://m.media-amazon.com/images/I/41nIGXlk80L.jpg,446789,maximum_weight_recommendation,"164.0 cm3715368g9,7""24.6 cm10SL591,0""231.6 ("
15458,https://m.media-amazon.com/images/I/41nIPSN-HvL.jpg,478428,item_weight,PRODUCT PARAMETERSOnAGAREo' SCEllC? EcOlOSHNEs StefiHNfFrIalALL MINIZED PLALCenicVisneuuMangbERSeeETtTT510'410'J60 UaMCHTAHR5mn20.08in/16.14in13.78inFULL SET OF ACCESSORIESDANNGIAAYINDL SL G T0YINSIRUCTONSRLCIFEGrIAFD NetGFz UED FOFUP CNpleWARRANTY CARDornin
15459,https://m.media-amazon.com/images/I/41nIxF68ijL.jpg,957185,item_weight,BOLOGNAManLdoro TnKerIcEI4540RING#ickouy #oMd(2ToondGarlicHdnalat(la)Hooz
15460,https://m.media-amazon.com/images/I/41nJFi9s36L.jpg,311997,height,cm40 cm2463
15461,https://m.media-amazon.com/images/I/41nJWV0X5xL.jpg,507467,voltage,"Convex lens, canfocusingGood light transmissionnot easy to damageStrong aluminum head protects the lens from abrasion,Imported P5OchipsHigh brightness Up to 12,000 LMService life 100OO hours_lamp"
15462,https://m.media-amazon.com/images/I/41nJYWs0LhL.jpg,459271,maximum_weight_recommendation,"20.3FT Ladder with HooksSuggested angle: 75""Number of Pedals: 15Weight: Approx.36 IbsLoad-bearing capaclly:150KG/330LB4in/ [ Ocm20. 3FT6.2ML3IUAUcm3.58ft/109cm1.5700/48cm -steps"
15463,https://m.media-amazon.com/images/I/41nJh710PKL.jpg,886874,depth,1812 Inches
15464,https://m.media-amazon.com/images/I/41nJh710PKL.jpg,886874,width,1812 Inches
