index,image_link,group_id,entity_name,e
120688,https://m.media-amazon.com/images/I/71XXMNR36ZL.jpg,625310,item_weight,5COEImpedance: 8 OhmWeather ResistantRMS Power75wCRISP & CLEAR Sound from Speaker CorePMPO1200WManufactured in the Indian DesertHigh Power Handling CapacityHigh-Quality Sound Output with Minimum NoisePassed Through Advanced Quality Testing ProcedureWWW.Score.com
120689,https://m.media-amazon.com/images/I/71XY+DMUSsL.jpg,625310,item_weight,The impedance is LQand the power is 5W.Reduce high frequency harmonic distortion:
120690,https://m.media-amazon.com/images/I/71XYplXUd1L.jpg,271722,item_volume,"DANGERH9tyroDANGER(cwasdtr36aSSVeen(rmastartCdMnesbaLABSDangerVeenKunsunteHaybrekkLABSGswasdrerDANGER#axtreHarard SultaetVelenPtckusesnS17DsderHavekrScoornto(xssastreeLABSGordix?ISOPROPYLMyauor""d ;4urVeenPtecuebr=6ALCOHOLGoerISOPROPYL99%70%LABSKtsKarIcALCOHOL91%Usduryc .USP NF GradcAs99%ToxISOPROPYLUSP NF GradcDopexALCOHOL91%Liter (33.8 FL 0Z) 1.06 QTRISOPROPYL99%70%vNIAAALCOHOLUSP NF GradcLiter (33.8 FL 0Z) 1.06 QT99%USP-NF GradeLiter (33.8 FL 0Z) 1.06 QT(33.8 FL 0Z) 106 QTTtuenCo:tecic#osendDivibud91% vlImrDIuiudeSvliaVaxdorQode=b vlviae00mogSvhli706 =DIuioudn""adlenacl {cxr'vllGerene dottonPkrtte#DIutiusdepvlIA919 L` vlvli]70% LLiter"
120691,https://m.media-amazon.com/images/I/71XZ8QaERqL.jpg,701880,item_weight,Super Lightweight & Convenient to Carry AroundWeight:232gFolding length:7.6in3gModo de manoStativ-standmodus
120692,https://m.media-amazon.com/images/I/71XZ8QaERqL.jpg,701880,maximum_weight_recommendation,Super Lightweight & Convenient to Carry AroundWeight:232gFolding length:7.6in3gModo de manoStativ-standmodus
120693,https://m.media-amazon.com/images/I/71XZGd+vGDL.jpg,240413,voltage,A-TECH32GB PC3L-10600/1333MHz ECC LRDIMM 4Rx4 1.35VC€CautionLDRemoval Will Void WarrantyAnod surigeeA-TecH32GB PC3L-10600/1333MHz ECC LRDIMM 4Rx4 1.35V(€CcutionRemoval Will Void WarrantyTioi 58715338
120694,https://m.media-amazon.com/images/I/71XaQvm0gZL.jpg,426261,item_weight,pClosedModelWeightDia:Butt Dia.Line Wt.Lure WtLengthSections<mlft><g/oz><mmlin><mm/in><lb><g><cmlin>1.8/638.5/15.18160/5.642/0.07814.5/0.575-107-92.1/739.5/15.58180/6.342/0.07817/0.665-107-92.4/840.5/15.99215/7.582/0.07819/0.746-127-142.7/8.841.0/16.110265/9.342/0.07821/0.828-157-21ModelGear RatioWeightPackage WeightBearingsLine capacity(mm/M) (lbs/yds)0.20/245 0.23/180 0.28/11520006.2.1230g/8.1oz335g/11.80212+14/240 6/150 8/1250.28/155 0.31/125 0.36/9530006.2.1250g/8.80z330g/11.60z12+18/180 10/150 12/1100.28/225 0.31/180 0.36/13540006.2.1275g/9.7oz354g/12.50z12+18/270 10/220 12/160Top
120695,https://m.media-amazon.com/images/I/71XayxSCMuL.jpg,892291,wattage,Durable & Powerful Kit36w Fast ChargeBody Size1O0%+91%-63%IntegratedSuper FastDesignCto C Cable8PiNiopeANO?EANOFE
120696,https://m.media-amazon.com/images/I/71XayxSCMuL.jpg,892291,item_weight,Durable & Powerful Kit36w Fast ChargeBody Size1O0%+91%-63%IntegratedSuper FastDesignCto C Cable8PiNiopeANO?EANOFE
120697,https://m.media-amazon.com/images/I/71Xb423zY7L.jpg,386873,item_weight,Helio P6O processor8GB RAM+ 128GB ROM0P6OProcessorHelioTnt
120698,https://m.media-amazon.com/images/I/71Xcwv6hVyL.jpg,625310,item_weight,Built in 2 2.5Wspeaker system
120699,https://m.media-amazon.com/images/I/71XdKGmSsjL.jpg,596730,maximum_weight_recommendation,Rated capacity (Evenly Distributed):400 Lbs Dynamic; 800 Lbs Static
