image_link,group_id,entity_name,entity_value,preprocessed
https://m.media-amazon.com/images/I/61I9XdN6OFL.jpg,748919,item_weight,500.0 gram,100natur
https://m.media-amazon.com/images/I/71gSRbyXmoL.jpg,916768,item_volume,1.0 cup,gepragtedeignedinlienierteundgechuttedeign
https://m.media-amazon.com/images/I/61BZ4zrjZXL.jpg,459516,item_weight,0.709 gram,ervingie1tablet0709geachervingcontainapprovalueingredientotervingphophocompleilbinillbummarianum200mgdandeliontaraacumofficinaleleafetract101100mgkutkipicrorhiakurroarhiomeetract05bitter50mgkaanicichoriumintbueedetract1bitter25mgpunarnavaboerhaviadiffuarootetract007alkaloid25mgbhuiamlaphllanthuamaruwpetract05bitter25mgamlaphllanthuemblicafruitetract10tannin25mglicoriceglcrrhiaglabrarootetract5glcrrhiin25mgvitamine10mgpipernigrumfruitetract95piperinemgnutrientqtervingenerg304kcalcarbohdrate051gugar02gprotein0049fat009grdavalueetablihedapericmr2010foredentarlifetlemenrdanotetablihedbicmr
https://m.media-amazon.com/images/I/612mrlqiI4L.jpg,459516,item_weight,0.709 gram,
https://m.media-amazon.com/images/I/617Tl40LOXL.jpg,731432,item_weight,1400 milligram,hightrengthplliumhuk
https://m.media-amazon.com/images/I/61QsBSE7jgL.jpg,731432,item_weight,1400 milligram,naturallourcedplliumhightrength1400mgperervingtaaheolaieplantagoplanteedaho365vecaulauitableforveganvegetarianhorbaach
https://m.media-amazon.com/images/I/81xsq6vf2qL.jpg,731432,item_weight,1400 milligram,directionforadulttaketwo2vegancapuledailpreferablwithamealdonoteceedtateddoenutritioninformationtpicallperdaildoehighteeeeplliumhukpowder1400mgplliumhukplantagoovataplanteedingredientplliumhukpowdercapulehellhdroproplmethlcelluloeanticakingagentmagneiumaltoffattacidilicondioidemacontaineameeedmutardforallergeneetheingredientinboldnoticetakethiproductwith220mloffluidtakingthiproductwithoutadequatefluidmacauethepoibilitofchokingdonotuethiproductifouhavedifficultwallowingifoueperiencechetpainvomitingordifficultinwallowingorbreathingaftertakingthiproducteekimmediatemedicalattentiondonottakebeforeleepingfibreproductcanaffecttheaborptionofmanmedicationdonottakethiproductwithin15houroftakingmedicationfreefromartificialcolourartificialflavourartificialweetenerpreervativeuitableforvegetarianveganhu16790c36iahorbaach
https://m.media-amazon.com/images/I/71DiLRHeZdL.jpg,731432,item_weight,1400 milligram,veganwowheatfreeopaidair365eceqinafreefrompreervativehorbaach
https://m.media-amazon.com/images/I/91Cma3RzseL.jpg,731432,item_weight,1400 milligram,horbaach100highetqualithightrengthplliumhukplantagoovataplanteedpehorbaach
https://m.media-amazon.com/images/I/71jBLhmTNlL.jpg,731432,item_weight,1400 milligram,newlookameneaeequalitvilumacaplliumagimhukplanteedh\4foodupplementwoodcappulea365vegan900carulehorbaach
